"イベント名","開始日時","終了日時","開催会場","開催場所","緯度","経度","サイトURL"
"Cybozu Meetup #1 フロントエンド（東京会場）","2017/02/27 19:00","2017/02/27 21:00","サイボウズ株式会社（東京オフィス）","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://cybozu.connpass.com/event/49521/"
"[Side WordBench京都] kintoneとWordPressで業務効率化を考える会","2017/03/04 15:30","2017/03/04 18:00","京都コワーキングスペースcoto","京都府京都市下京区東塩小路町６０７?１０(サンプレ京都ビル)","34.9884","135.7554","https://wb-kyoto.connpass.com/event/51700/"
"WordPress & kintone - devCamp Vol.11 @Osaka","2017/03/01 14:00","2017/03/01 18:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号 梅田阪急ビルオフィスタワー 35階","34.7023","135.4988","https://kintonedevcamp.connpass.com/event/49068/"
"kintone Caf? 神奈川 Vol.5","2017/03/13 18:00","2017/03/13 20:30","株式会社 日本コンピュータコンサルタント","横浜市神奈川区栄町５番地１ (横浜クリエーションスクエア6階)","35.4683","139.6281","https://kintonecafe-kanagawa.connpass.com/event/50248/"
"kintone Caf? 新潟 Vol.3","2016/02/06 13:00","2016/02/06 17:00","ほんぽーと中央図書館","新潟市中央区明石2-1-10(ほんぽーと中央図書館３F研修室１)","37.9166","139.0679","https://kintonecafe-niigata.connpass.com/event/25673/"
"業務改善アプリを気軽に作る　kintone Caf? 千葉　Vol.4","2017/03/18 13:00","2017/03/18 17:00","千葉コワーキングスペース201","千葉市中央区新千葉2-8-10","35.6146","140.1092","https://connpass.com/event/52843/"
"kintone Caf? 秋田 Vol.1","2017/03/25 13:30","2017/03/25 17:30","センタース 洋室4","秋田県秋田市山王一丁目１番１号","39.7202","140.1024","https://connpass.com/event/50532/"
"kintone Caf? 秋田 Vol.1 懇親会","2017/03/25 18:30","2017/03/25 20:30","株式会社necco","秋田県秋田市山王１丁目６?２０ 3階","39.7221","140.1013","https://connpass.com/event/53201/"
"Elasticsearchで実現するスキーマレスデータベース基盤","2017/03/26 16:00","2017/03/26 19:00","CAMPHOR- HOUSE","京都府京都市左京区吉田牛ノ宮町16番地","35.0249","135.7769","https://camphor.connpass.com/event/52699/"
"第二回セミナー　匠BusinessPlace社員が伝える匠メソッドはこう学び、こう実践する","2017/03/29 19:00","2017/03/29 21:30","ロックオン","大阪府大阪市北区梅田2-4-9 ブリーゼタワー13F","34.6987","135.4939","https://naniwa-takumi.connpass.com/event/51865/"
"Cybozu Meetup #2 SRE","2017/04/03 19:00","2017/04/03 21:00","サイボウズ株式会社（東京オフィス）","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://cybozu.connpass.com/event/52668/"
